1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0.98571,0.89896,1.0109,1.9163,1.4689,0.65749,0.93365,1.6592,0.49199,1.1851,1.2355,0.77049,NA,0.66931,0.87081,0.52521,0.57053,1.5601,1.382,NA,1.3741,1.1307,0.87225,0.76941,1.2801,1.4381,2.0988,0.48836,0.31769,0.33651,0.3711,0.429,0.37215,0.46062,0.38786,0.34629,0.45656,0.4298,0.46544,0.3703,0.49631,0.5548,0.56572,0.4487,0.37277,0.39632,1.3441,0.73179,0.80162,0.80337,0.50281,0.31453,0.89699,0.89075,0.94367,0.34602,1.0786,0.49606,1.3923,1.4913,0.82218,1.5841,0.37003,0.49294,1.1598,0.39245,1.0056,0.38683,0.85051,2.1711,0.52089,0.65808,1.1896,0.74797,0.57037,0.81365,0.53996,0.46581,0.86479,0.75471,0.40964,0.79572,0.44104,0.42708,0.78964,0.84007,0.48216,0.68951,0.57172,0.60082
0.975,2.1009,1.1687,0.85914,2.5817,1.7688,1.7737,1.4545,0.92459,2.1321,1.2313,2.2734,1.7915,1.3219,1.5137,2.1052,1.1435,1.0622,1.2404,1.342,2.0333,1.2877,1.3148,1.1688,1.3021,0.86271,1.4899,1.7016,1.2741,0.52679,1.2244,1.2517,0.6144,0.57036,2.0681,0.87708,0.67999,0.98824,1.0216,0.60649,0.56811,2.1425,1.3597,0.73813,0.47433,1.7248,2.7462,0.37059,0.65395,1.6451,0.59437,0.52928,1.5655,1.649,0.85179,1.2618,0.57697,0.65407,1.7963,0.97342,0.41634,1.8185,0.97291,0.91917,0.49375,1.0938,1.153,0.7603,0.59073,1.7287,0.67815,1.6438,1.4764,1.246,0.78892,1.9926,2.3032,0.79441,1.0717,0.37362,1.772,0.76187,0.99432,0.5045,0.53901,0.97266,0.59123,2.7102,1.4975,0.69727
1.791,1.1737,1.053,0.99174,NA,1.6738,1.4602,1.1744,0.94767,0.84164,1.6,0.68614,0.84624,0.899,1.4066,0.58184,0.79528,1.0543,0.74645,0.49058,0.96415,0.43651,0.89275,1.079,0.57912,0.49005,0.90157,0.63702,0.67144,0.62805,0.64262,1.2738,0.98609,0.75982,1.7973,0.83342,0.7071,0.64977,0.63742,0.95728,0.701,1.5681,0.99724,1.0986,0.90766,0.6844,0.59563,0.79937,0.53222,0.61725,1.5622,0.9071,0.91791,1.0767,0.85758,0.48473,0.69274,0.52044,0.54997,1.1892,0.49853,0.66448,0.63196,0.52034,0.38183,1.2884,1.4838,NA,0.76448,1.113,0.8173,0.40693,0.49756,0.63848,0.44559,0.98614,0.6877,0.78302,1.1794,0.54459,0.35562,0.85384,0.4318,0.71464,0.55544,0.73521,0.30477,0.88528,1.0152,1.2612
1.1922,2.7397,1.3923,1.9198,2.787,1.9555,1.8087,2.4569,1.6644,1.2946,1.6624,1.7098,2.2139,1.3536,2.1052,3.4226,1.6905,3.4551,1.1996,3.8422,NA,3.3435,1.5901,3.0726,2.4548,1.689,1.0375,1.7105,1.1741,1.6064,1.4156,2.2605,2.6718,1.2601,1.0662,1.6344,1.7856,3.5961,2.2364,1.9057,NA,1.1724,1.534,2.313,1.3407,1.2355,1.753,3.6674,1.5,2.0998,1.3242,2.0214,1.4059,1.8436,1.0468,1.9226,1.062,3.0077,1.7694,1.8604,1.4962,1.0899,1.3788,1.063,2.9575,1.3554,3.0127,3.0468,1.1569,1.2309,2.2722,2.3269,1.1404,3.3601,3.0836,3.1839,0.99635,3.0199,1.3458,1.2929,1.3536,1.7234,0.96806,1.7737,1.4916,2.3173,0.92081,1.4167,1.069,2.0894
1.7507,1.4295,1.1664,1.2978,0.88638,NA,0.75186,1.9256,1.1022,1.4256,2.0445,1.7793,0.64711,1.8885,0.54579,1.3318,0.65896,0.43431,0.67756,0.54049,0.48303,0.57307,0.47239,0.86824,0.69987,1.012,0.60079,0.55471,0.61477,0.50868,0.61673,0.59358,0.51496,0.38244,0.52589,0.63893,0.79753,0.43566,0.44733,0.47204,0.91463,0.48333,0.44033,0.67275,0.8621,0.43697,0.58066,0.54009,0.55705,0.5264,0.88218,0.8216,0.75046,0.5688,0.39187,1.2709,0.40712,0.81614,0.43428,1.3046,0.50172,0.57252,0.46599,0.42861,0.38742,0.54422,0.47914,0.46893,0.5259,0.96246,0.57962,1.5775,0.76914,0.54699,0.49939,0.44479,0.50987,0.39356,0.55786,0.58124,0.38897,0.63321,1.447,0.79171,0.49669,0.61643,0.77032,0.49924,0.38019,0.51505
1.5054,2.6843,0.97915,0.50082,1.5637,1.4812,0.90203,3.1817,1.561,0.80438,1.4461,0.59519,0.57459,0.7215,2.2652,1.7355,1.7836,0.95159,1.0775,1.4075,1.35,1.3371,2.0547,1.3582,1.2182,0.89322,1.967,0.81217,0.73916,2.4713,0.79561,0.57784,0.76089,0.63719,0.88988,1.1998,0.69482,1.8344,NA,1.7582,1.5501,1.214,0.90493,2.4165,0.49054,1.5772,0.58922,0.92936,1.6142,0.57159,0.67597,0.55332,0.76547,1.5724,1.4354,1.7916,1.8837,1.0804,1.4686,1.4024,1.1133,1.2312,1.5323,0.58485,1.6834,1.271,0.89273,2.119,0.6989,0.47433,2.1987,0.88506,0.71145,0.51001,1.3478,0.99912,0.56592,0.96092,0.71908,0.96282,1.6413,1.0736,1.4493,1.6636,1.0482,1.6005,1.2236,0.49208,0.17358,0.62389
1.3363,1.5703,1.2125,1.7016,1.6932,1.0029,1.2443,1.1356,1.4673,2.3943,1.2431,1.6112,0.99787,1.5752,1.2269,1.5703,1.093,1.2312,1.4879,1.307,1.8374,2.4237,2.7084,2.0095,1.5798,0.90551,1.2978,1.7703,1.4459,1.6241,NA,1.3073,1.264,0.96959,1.5451,1.183,1.4191,1.0206,1.5629,1.5506,1.8021,1.487,1.1424,1.4031,1.6777,NA,1.5663,2.9261,1.1673,1.0945,2.5471,1.8337,0.44152,1.0991,1.1928,0.61335,1.4435,1.625,1.5547,0.8453,2.6163,1.5553,1.5379,0.97333,1.2779,1.4043,2.2914,1.0205,1.4869,1.3247,0.93591,1.5719,1.3896,1.0161,1.6553,2.8881,1.1879,1.0157,1.2704,1.7929,1.0827,1.1009,1.3507,0.82502,1.3322,2.3053,1.1994,1.0482,1.854,2.1597
0.8033,0.77474,1.01,1.8746,1.1678,1.8523,1.6306,1.2505,1.8985,0.62789,0.89126,0.30497,1.1342,1.8191,1.0604,1.4195,1.3484,1.08,1.7937,0.91372,1.4829,1.2004,1.71,1.4363,1.1955,1.512,1.7381,1.2508,1.0075,1.4579,1.4487,0.93975,1.5531,0.87025,0.79314,1.8019,0.99145,1.483,1.6418,1.7397,NA,1.212,0.75971,0.63549,0.99458,1.0594,0.86087,0.85552,1.096,1.9663,1.0943,1.0064,1.3111,1.0002,1.0658,1.1144,2.1949,0.98731,0.90663,0.84557,0.87025,1.667,0.9231,2.3058,0.85188,0.95038,1.0591,0.79969,0.75308,1.0486,1.4426,1.5658,1.4107,1.1331,1.083,1.3125,1.0905,1.244,2.0043,0.82437,0.70531,1.5571,0.86276,0.50111,0.78853,0.8161,0.96636,1.7881,0.96288,1.3233
1.9935,5.3047,1.3024,1.3447,1.5796,2.0885,1.5752,1.7159,2.4562,0.57141,1.2773,0.73644,1.5143,2.0407,1.6295,1.7047,2.4906,2.8413,1.8145,2.6602,2.7203,2.0566,4.7636,2.1751,2.3462,1.2127,1.7817,0.81792,0.91019,1.9175,1.2281,2.7407,1.1757,1.8199,3.4222,4.136,0.86858,0.88831,2.0732,5.0523,2.55,1.9058,2.4274,0.67917,0.97003,2.0949,0.77366,3.0132,0.88735,1.6631,1.5714,1.3579,2.3672,2.9094,0.57744,0.44251,0.62815,4.0286,0.71428,1.8789,1.7753,0.48306,3.0038,1.1687,2.0769,1.7145,NA,3.0245,1.51,0.98615,2.2738,0.60902,1.7958,0.95047,4.0308,4.6938,1.2505,2.8067,1.1522,0.47182,0.57107,2.8505,3.5244,0.45308,2.5526,1.9995,3.4972,0.65917,1.8041,0.86389
1.351,2.3173,1.53,2.0519,1.4889,NA,1.2458,1.5265,1.2485,1.4295,1.3729,1.4886,1.1046,0.57767,0.71174,1.4786,1.3107,2.1561,1.0984,1.4956,0.96592,1.1026,1.5829,1.6067,1.1992,1.2707,1.1729,1.232,0.99066,2.2646,1.4018,1.7756,1.1703,1.3128,0.94407,1.0139,1.1818,1.1611,1.1342,1.1856,1.1176,0.93388,1.9119,1.528,1.4477,1.0364,1.2629,1.4235,1.22,1.0322,1.4883,1.4912,1.3131,1.1245,1.2915,1.1681,1.7145,1.163,0.99285,1.1273,1.012,1.2036,0.97166,1.4797,1.7172,1.3287,1.4529,1.4811,1.9809,1.6722,1.0317,1.2723,1.4941,1.664,1.5615,1.1202,1.0818,1.2524,1.4816,0.7749,1.4497,1.1292,1.6359,1.0324,1.1806,1.3133,1.2423,1.3903,1.6684,1.4005
