Sub,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Sub54,5.23563252,5.48254873,5.432702142,5.352556541,5.119577435,4.758013864,5.226998481,5.180886798,5.177200284,5.278281337,5.23599169,4.846718885,5.091280732,4.971496524,5.026029067,4.616966885,5.284389439,5.076596831,4.976750309,4.707115842,5.147522567,4.897421665,5.174208665,4.827445582,5.092510946,5.075605078,4.949249722,4.76542984,5.165166636,5.124692401
Sub55,4.641705294,4.712690736,4.777068309,4.705020573,4.771950712,4.628544304,4.899393162,4.614397689,4.721071776,4.682688967,4.642062567,4.628893046,4.73931711,4.697724626,4.468971243,4.431433004,4.589024429,4.637114826,4.684937124,4.687785558,4.538661619,4.495152274,4.406801329,4.422452781,4.191764957,4.203205742,4.220300213,4.314410739,4.091646025,4.017339683
Sub56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub58,4.635532419,4.710355547,4.751639492,4.916870375,5.002084767,4.971227844,4.863115883,4.891570412,4.900796771,4.814461604,4.877066161,4.80323564,4.808940393,5.041627508,4.949556472,4.956087698,4.947589951,4.991119898,4.77977015,4.856733399,4.981071607,5.021780368,4.84154023,4.770648678,4.766192794,4.647425934,4.76154858,4.843496666,4.822707058,4.859589596
Sub59,6.222722119,6.428930941,6.275849517,6.214376119,6.122791609,6.151981213,6.263801373,6.158502149,6.246754273,6.185078177,6.340893717,6.281602199,6.379699169,6.26514499,6.149477867,6.081641947,6.275854295,6.308379472,6.215258024,6.122110652,6.126601011,6.254920749,6.141293511,6.309192644,6.106999758,6.193110033,6.184608913,6.185414209,6.19223193,6.119625092
Sub60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub61,6.070509918,6.146535047,6.815756292,6.584289827,6.144788724,6.320129247,6.376974517,6.446556498,6.035046506,6.272054699,5.954137838,6.150933364,6.014042981,6.047448314,6.291792018,6.271846487,6.032782993,6.236699481,6.002135538,5.600636384,5.85,5.630295766,5.791445491,5.732025183,5.935843659,5.872984705,5.300533897,5.701352416,5.827891802,5.488851498
Sub62,5.407359612,5.485600513,5.491685817,5.438188031,5.512583792,5.587120373,5.50952798,5.494309065,5.566211411,5.574272366,5.59930688,5.621871331,5.62740585,5.608452809,5.629721748,5.557225666,5.538315245,5.622040576,5.559563218,5.504707998,5.541560731,5.57026439,5.539156307,5.55229423,5.465955071,5.492712772,5.521503863,5.450255736,5.563257616,5.398351935
Sub63,5.085286695,5.095951225,5.154715663,5.214489579,5.196373645,5.129522927,5.089026031,5.166128448,5.07561958,5.030285283,5.215458425,5.11900413,5.082039555,5.172645502,5.155968384,5.16514815,5.056246164,5.057566982,5.105294739,5.139991895,5.11188307,5.153196966,4.986703848,5.08137417,5.149426684,5.049463351,5.042536181,5.187856014,5.24667826,5.13385591
Sub64,5.197881966,5.267953011,5.236697156,5.294264236,5.247232548,5.21918117,5.212515797,5.236041357,5.129536575,5.183877289,5.122983063,5.099473471,4.986744552,5.06439463,5.03072566,5.036325208,5.05649638,5.109923444,4.93598894,4.95080759,4.975475275,4.786763534,4.829686249,4.715345762,4.751299199,4.681843225,4.685465126,4.840913876,4.94129358,4.993885239
