1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.83886,1.5911,1.4547,1.7977,2.2032,0.82924,3.0138,1.5986,2.0408,1.1186,1.4211,2.3255,1.3935,0.62586,2.5603,1.7436,0.82981,0.89018,0.61088,0.5921,0.59894,0.76741,1.0148,0.66938,1.3108,1.0905,0.82621,1.5617,1.2258,1.2656
1.495,1.4191,2.2273,NA,1.4372,1.7589,2.0149,1.3405,2.6894,1.5902,3.1013,2.0864,1.7374,0.88944,1.3853,1.8035,0.54176,2.2607,1.5361,1.4352,1.679,2.0905,0.9382,1.0942,1.1533,1.2683,2.113,0.5973,1.6728,1.4321
3.7919,1.9039,4.3999,5.012,2.5715,4.5005,1.1452,2.5096,1.949,2.9779,2.4165,3.1662,1.262,2.8582,3.2651,2.9254,1.4111,4.819,1.6059,0.9844,1.6823,2.4699,1.3893,2.9591,0.77412,1.7518,1.7927,1.2094,4.2351,1.4101
1.1658,1.0489,1.2907,0.9497,1.4712,1.5791,1.0389,0.93896,1.365,1.4129,0.87299,0.63016,0.91835,1.0445,2.3559,4.0043,1.6257,3.181,1.008,0.95955,0.7572,0.93853,1.2078,3.439,0.831,3.9468,0.66057,3.093,0.5481,0.71132
1.4009,1.3075,1.2275,1.881,3.4039,1.9158,1.7102,1.5953,1.6205,1.6668,0.99398,1.1237,1.1289,0.99035,2.2626,1.0808,2.2104,1.3716,1.0102,2.102,4.7847,NA,1.2591,2.6777,2.1399,1.1923,1.1534,1.1285,1.5167,1.553
1.4367,2.9422,1.2514,1.5144,1.0604,0.68096,2.3852,0.69195,2.1721,1.3149,1.9217,2.6185,3.4338,0.59329,0.81672,2.4991,1.1907,0.80827,1.3354,0.66767,0.29981,1.4673,1.1037,0.84287,1.2221,0.50932,1.6787,1.4311,1.6622,0.58611
1.182,1.6928,2.7733,1.5965,2.5324,2.0269,1.5095,0.88606,1.8529,2.6759,2.4426,1.0295,1.2958,1.2408,2.0141,1.5114,0.91358,0.80413,1.1623,1.1523,2.5774,1.1735,1.4145,0.77485,1.0566,1.1194,3.4543,3.6515,2.3031,0.95893
1.327,1.8789,2.3018,2.6487,2.7135,1.3651,1.3157,1.0873,1.178,1.6315,1.162,1.2481,1.6834,2.4705,1.1225,1.2926,1.4761,1.198,0.93898,1.2945,1.2791,1.1717,3.1751,1.2152,1.0538,1.435,1.7627,1.1862,1.2117,1.2334
1.7219,1.2557,1.5842,1.8837,1.6385,1.7579,2.198,1.2853,2.1058,0.76098,1.6505,1.2104,1.3595,1.2335,1.419,1.2209,2.0335,1.336,1.116,1.4035,1.7378,1.1298,0.89616,1.4291,1.4902,1.6969,0.88233,2.0889,1.6862,0.87341
1.4609,1.3429,4.7338,3.0203,2.682,1.5192,3.0693,1.8807,2.1481,3.7179,3.4492,0.92927,2.6558,2.2578,1.288,1.6921,1.4594,3.5369,0.69817,1.3578,1.3422,2.5379,1.1687,0.90536,1.9384,1.6676,2.8851,1.3911,2.0089,NA
