Sub,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Sub21,4.831288499,4.839749968,4.838745389,4.697271594,4.775923805,4.733874667,4.786586466,4.873887208,4.719421542,4.808466698,4.768138742,4.670402779,4.695765312,4.728480885,4.712985642,4.709979162,4.623135975,4.759764676,4.727031256,4.720007903,4.688420152,4.650578127,4.681466912,4.851730881,4.909277168,4.837708343,4.811474805,4.731318391,4.782310802,4.843576028,4.813250897,4.755394124,4.741630583,4.687549851,4.79805736,4.754317852,4.720582215,4.801348657,4.930907921,4.920863643,4.889102232,4.804716699,4.766385691,4.797093184,4.789234547,4.77764646,4.806460038,4.772117488,4.83881432,4.739876125,4.811255777,4.854610693,4.739087135,4.828246053,4.771093035,4.811522801,4.689818054,4.793892742,4.782224907,4.711187824,4.721187006,4.800544427,4.786427917,4.751009023,4.676266378,4.832592636,4.715414111,4.740471921,4.783621707,4.725874796,4.729963802,4.728664532,4.734015671,4.688352729,4.686706104,4.652456016,4.759208222,4.79216411,4.646234077,4.654609179,4.690157098,4.714450973,4.760190291,4.646978317,4.758429015,4.717457689,4.723505325,4.804564971,4.486861781,4.340760815
Sub22,4.77789293,5.034458602,5.179203959,5.159615991,5.1432712,5.252045783,5.162770669,5.310905738,5.256509731,5.301505973,5.494685357,5.461059716,5.447165653,5.488615753,5.648521658,5.756584653,5.571584118,5.44682417,5.589189393,5.516925477,5.562163831,5.332314143,5.47325777,5.792676245,5.615311546,5.610521588,5.461684101,5.416597877,5.721430122,5.551107069,5.599174999,5.513466728,5.577895604,5.70275093,5.53699535,5.665680276,5.636657449,5.419451101,5.625297232,5.877557843,5.743468638,5.659358131,5.870119717,5.712999167,5.754767271,5.740892957,5.803719126,5.868912151,5.804565118,5.647818885,5.819929865,5.734803301,5.571454473,5.57452518,5.631037087,5.568085066,5.628585473,5.717125317,5.690399314,5.615426678,5.69569402,5.612475277,5.582992104,5.661086095,5.804323578,5.766555333,5.764617355,5.738654092,5.602092631,5.650312572,5.565951623,5.491585586,5.437477588,5.631952714,5.646411942,5.442837928,5.377254863,5.460600547,5.374934767,5.284569286,5.214910063,5.480667503,5.174797531,5.165662294,5.414218212,5.405170726,5.220942599,4.98749649,4.914430071,4.94412171
Sub23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub24,5.53218299,5.784395969,5.711047734,5.915651647,5.90024074,5.852517907,6.037415729,6.065861512,6.103187505,6.159518225,6.186612151,6.018715843,5.967664414,5.936677072,5.873968475,6.007602676,6.232661603,6.256765444,6.166105608,6.23398105,6.219359651,6.326984012,6.240192203,6.281848764,6.24843711,6.171415204,6.238636211,6.292966402,6.232478267,6.14908236,6.207175051,6.144391622,6.088564251,6.11004136,6.168695273,6.178045605,6.186556417,6.119145521,6.170006048,6.091149021,6.000939802,6.014432795,5.935381342,6.107906834,5.933575666,6.255762265,6.003336041,5.937779069,5.921204038,5.894250563,5.945815759,5.92544129,5.933295266,5.898023258,5.958018267,5.908859901,5.999675258,6.098108962,6.133049623,6.068851665,6.004988857,6.024470345,6.18902573,5.901938102,6.088320669,5.903913957,5.781750497,5.999627725,5.916377821,5.969001793,6.003299488,5.990493179,5.994338819,5.94976247,6.054339895,5.975602627,5.934040773,5.999997629,5.980574342,6.01249553,6.014290595,6.241270271,5.986376772,6.01178895,6.223605545,6.058798851,6.251635306,6.076029351,6.109464068,5.819334466
Sub25,3.325549533,3.53760891,3.724585545,3.901915789,4.076288914,4.026646227,4.258200751,4.269036071,4.322925146,4.415401495,4.362373818,4.570369412,4.51626619,4.365325194,4.348040276,4.474947177,4.320199586,4.54494004,4.688199058,4.764737567,4.646005837,4.588360787,4.555595031,4.506598485,4.458747496,4.599541281,4.705067073,4.560392738,4.303239837,4.571414301,4.62625968,4.780287851,4.574407407,4.487773378,4.513034185,4.565421761,4.615554569,4.822853367,4.68775108,4.598680141,4.404052574,4.611687196,4.59064163,4.435912009,4.552279401,4.595765351,4.508304368,4.602040135,4.623610691,4.596817277,4.518116132,4.497362105,4.612105846,4.612318874,4.533075655,4.41057634,4.636324314,4.621724272,4.68412771,4.654394672,4.70927633,4.766270567,4.82251391,4.637097582,4.586387146,4.66369829,4.756709145,4.581620061,4.680435484,4.678514225,4.716203388,4.624282715,4.598434091,4.734523898,4.641079793,4.512659549,4.551335086,4.507051217,4.654650377,4.600140716,4.609093211,4.523186759,4.72691087,4.576734205,4.642230488,4.465389972,4.683475033,4.55685784,4.69609699,4.47591896
Sub26,4.808084108,4.843631102,4.935827628,5.12265817,5.24999159,5.500876676,5.602067433,5.48357565,5.709137809,5.584075839,5.572051496,5.482436373,5.737178932,5.732837249,5.620891773,5.742655566,5.752908858,5.835480911,5.699401537,5.79954557,5.798647851,5.812776023,5.850068264,5.801580065,5.716924404,5.816250267,5.60011197,5.738886657,5.878801353,5.978301651,5.873879214,5.523782461,5.784955842,5.926403447,5.872836289,5.883390721,6.093544629,6.022459352,5.856796018,6.083017694,5.889997601,5.914510992,5.931384483,6.089568947,6.109891016,6.066859775,6.146186665,5.688340368,5.944454438,6.055552615,6.067068291,5.862187045,5.943010307,5.991577328,5.98670583,5.933309449,6.017648151,6.121180555,6.062765762,6.023270549,6.035235354,6.076054962,6.110906895,5.958123452,5.704637004,5.997743689,6.12813266,6.033571713,6.078764511,6.118643978,5.962095355,5.773131432,6.084129505,6.0945276,6.126341883,6.011911894,5.982982539,5.871672649,6.053588016,5.810135136,6.001778405,5.864283008,5.872652209,6.002815031,6.100823871,6.075502675,5.975799782,6.027488226,5.851428265,5.799533567
Sub27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub28,5.420735915,5.690379573,5.894683156,6.038992856,6.412221928,6.470832862,6.550970155,6.619045853,6.57393127,6.47569033,6.806657431,6.730190535,6.791483209,6.686594317,6.841372549,6.822201243,6.926781643,6.785349797,6.772857471,6.7967,6.969738913,6.983419545,6.894688136,6.885449227,7.017421925,6.9579,6.999414072,6.864042169,6.818484556,6.923657621,6.959092775,6.933134754,6.936182558,6.839309692,6.889948664,6.806702374,7.042339782,7.001980444,7.02331886,7.004810117,7.105509935,7.000612156,7.033960581,7.038192269,6.889270281,7.019345946,7.144244565,6.975608352,6.916304124,6.919276025,6.941908688,6.973604799,6.942242074,7.063210946,7.052059069,7.032181524,7.104728752,6.985438122,6.980682196,7.062693022,6.834891286,6.993410908,6.991826254,7.012951936,7.058921715,7.00263849,6.812875102,6.92819863,6.876810817,7.032178063,6.963844181,6.980997907,7.030492306,6.82233319,7.051911268,7.066788853,6.957460737,7.082882754,6.974125,7.025817631,7.099428378,7.030414747,6.836801798,7.03029729,6.927559321,7.003473874,7.081650575,6.860435059,6.956375354,6.88102381
Sub29,4.964219525,5.172407507,5.174210771,5.329561491,5.480220869,5.544547091,5.565621179,5.591393524,5.696266681,5.769395063,5.748967234,5.726200057,5.789908883,5.723133503,5.638991573,5.755414771,5.863012691,5.86030666,5.799609311,5.858864871,5.991268747,5.862140851,5.921600333,5.933399514,5.907773101,5.832071653,5.854823456,6.206927767,5.813879779,5.879626625,5.856406226,5.955207776,6.045873638,6.215611018,6.164294721,5.85042232,6.182718815,6.161006815,6.152240694,6.023817134,6.207891864,6.168365972,6.014307131,6.125257825,6.119433902,6.127188747,6.247061042,6.328563262,6.189128975,6.219006035,5.95001797,6.176341286,6.13094,6.018335509,6.122993737,6.252820071,6.219632725,6.25278668,6.133747634,6.159558422,5.706373259,5.910773078,5.901738473,5.630605171,6.061698128,5.964966784,5.954376328,6.012042616,5.921703551,5.957622713,5.986971786,5.917310825,6.000166243,5.841108948,5.938766334,6.013610104,6.148853505,6.147949175,6.220542205,6.114544168,6.025505634,5.994889716,6.010413877,5.631521294,5.987439757,5.958754717,6.026114787,6.039716185,6.160156832,5.893647147
Sub30,4.155095096,4.64911879,4.562559234,4.437264228,4.680586509,4.845606855,5.017603587,5.256922016,5.089160706,4.821568392,5.038181592,5.117256826,4.982966759,5.009148951,5.153734233,5.264153318,5.305470819,5.400953227,5.487767902,5.191510909,5.598447993,5.551533046,5.213743629,5.360022601,5.441432309,5.511123034,5.49514264,5.427548893,5.471120811,5.452622273,5.669791387,5.529368007,5.454415581,5.400474321,5.448539841,5.503803159,5.523197207,5.410965549,5.569372208,5.852405812,5.755395162,5.829493333,5.747659962,5.7267471,5.670771691,5.688187658,5.629730005,5.489651865,5.823193114,5.769768096,5.739725929,5.63804895,5.665671964,5.587964752,5.567561432,5.661430061,5.697519781,5.850608564,5.824895207,5.887856888,5.787330982,5.806227739,5.956130695,5.827231243,5.870785656,5.802998983,5.838630719,5.851557268,5.923168424,5.968041571,5.925955526,5.754349153,5.864247227,5.935318632,5.949295455,5.916850738,5.928118213,6.007085407,6.066028728,5.891014849,5.920978081,5.967914899,5.859898109,5.895509357,5.844127823,5.895799655,5.898477464,5.798817331,5.755534603,5.756106513
